x,y,value
7665508.895630862,2137261.5615374814,-32768
7666435.521064,2137261.5615374814,-32768
7667362.146497139,2137261.5615374814,-32768
7668288.771930277,2137261.5615374814,-32768
7669215.397363415,2137261.5615374814,-32768
7644196.51066868,2136334.936104342,-32768
7645123.136101819,2136334.936104342,-32768
7646049.761534957,2136334.936104342,289
7646976.386968096,2136334.936104342,289
7647903.012401233,2136334.936104342,289
7648829.637834372,2136334.936104342,290
7649756.263267511,2136334.936104342,289
7650682.888700649,2136334.936104342,289
7651609.514133787,2136334.936104342,289
7652536.139566925,2136334.936104342,287
7653462.765000064,2136334.936104342,283
7654389.3904332025,2136334.936104342,281
7655316.01586634,2136334.936104342,277
7656242.641299479,2136334.936104342,265
7657169.266732617,2136334.936104342,263
7658095.892165756,2136334.936104342,268
7659022.5175988935,2136334.936104342,-32768
7659949.143032032,2136334.936104342,-32768
7660875.768465171,2136334.936104342,-32768
7661802.393898309,2136334.936104342,-32768
7662729.019331447,2136334.936104342,-32768
7663655.644764585,2136334.936104342,-32768
7664582.270197724,2136334.936104342,-32768
7665508.895630862,2136334.936104342,-32768
7666435.521064,2136334.936104342,-32768
7667362.146497139,2136334.936104342,-32768
7668288.771930277,2136334.936104342,-32768
7669215.397363415,2136334.936104342,-32768
7644196.51066868,2135408.310671203,-32768
7645123.136101819,2135408.310671203,289
7646049.761534957,2135408.310671203,289
7646976.386968096,2135408.310671203,289
7647903.012401233,2135408.310671203,289
7648829.637834372,2135408.310671203,290
7649756.263267511,2135408.310671203,289
7650682.888700649,2135408.310671203,289
7651609.514133787,2135408.310671203,289
7652536.139566925,2135408.310671203,286
7653462.765000064,2135408.310671203,280
7654389.3904332025,2135408.310671203,281
7655316.01586634,2135408.310671203,279
7656242.641299479,2135408.310671203,273
7657169.266732617,2135408.310671203,275
7658095.892165756,2135408.310671203,274
7659022.5175988935,2135408.310671203,272
7659949.143032032,2135408.310671203,282
7660875.768465171,2135408.310671203,-32768
7661802.393898309,2135408.310671203,-32768
7662729.019331447,2135408.310671203,-32768
7663655.644764585,2135408.310671203,-32768
7664582.270197724,2135408.310671203,-32768
7665508.895630862,2135408.310671203,-32768
7666435.521064,2135408.310671203,-32768
7667362.146497139,2135408.310671203,-32768
7668288.771930277,2135408.310671203,-32768
7669215.397363415,2135408.310671203,-32768
7644196.51066868,2134481.685238064,-32768
7645123.136101819,2134481.685238064,289
7646049.761534957,2134481.685238064,288
7646976.386968096,2134481.685238064,288
7647903.012401233,2134481.685238064,289
7648829.637834372,2134481.685238064,289
7649756.263267511,2134481.685238064,289
7650682.888700649,2134481.685238064,289
7651609.514133787,2134481.685238064,288
7652536.139566925,2134481.685238064,287
7653462.765000064,2134481.685238064,285
7654389.3904332025,2134481.685238064,277
7655316.01586634,2134481.685238064,275
7656242.641299479,2134481.685238064,278
7657169.266732617,2134481.685238064,278
7658095.892165756,2134481.685238064,276
7659022.5175988935,2134481.685238064,274
7659949.143032032,2134481.685238064,284
7660875.768465171,2134481.685238064,-32768
7661802.393898309,2134481.685238064,-32768
7662729.019331447,2134481.685238064,-32768
7663655.644764585,2134481.685238064,-32768
7664582.270197724,2134481.685238064,-32768
7665508.895630862,2134481.685238064,-32768
7666435.521064,2134481.685238064,-32768
7667362.146497139,2134481.685238064,-32768
7668288.771930277,2134481.685238064,-32768
7669215.397363415,2134481.685238064,-32768
7644196.51066868,2133555.0598049248,-32768
7645123.136101819,2133555.0598049248,289
7646049.761534957,2133555.0598049248,288
7646976.386968096,2133555.0598049248,288
7647903.012401233,2133555.0598049248,288
7648829.637834372,2133555.0598049248,288
7649756.263267511,2133555.0598049248,289
7650682.888700649,2133555.0598049248,289
7651609.514133787,2133555.0598049248,288
7652536.139566925,2133555.0598049248,286
7653462.765000064,2133555.0598049248,283
7654389.3904332025,2133555.0598049248,275
7655316.01586634,2133555.0598049248,269
7656242.641299479,2133555.0598049248,269
7657169.266732617,2133555.0598049248,277
7658095.892165756,2133555.0598049248,279
7659022.5175988935,2133555.0598049248,275
7659949.143032032,2133555.0598049248,279
7660875.768465171,2133555.0598049248,286
7661802.393898309,2133555.0598049248,-32768
7662729.019331447,2133555.0598049248,-32768
7663655.644764585,2133555.0598049248,-32768
7664582.270197724,2133555.0598049248,-32768
7665508.895630862,2133555.0598049248,-32768
7666435.521064,2133555.0598049248,-32768
7667362.146497139,2133555.0598049248,-32768
7668288.771930277,2133555.0598049248,-32768
7669215.397363415,2133555.0598049248,-32768
7644196.51066868,2132628.4343717853,-32768
7645123.136101819,2132628.4343717853,-32768
7646049.761534957,2132628.4343717853,288
7646976.386968096,2132628.4343717853,288
7647903.012401233,2132628.4343717853,288
7648829.637834372,2132628.4343717853,-32768
7649756.263267511,2132628.4343717853,288
